GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-12-1,12,9,6,10,7,5,100,85,67,1008,1007,1005,10,10,7,21,10,,0.00,3,Rain,256
2011-12-2,8,6,3,5,4,2,100,87,81,1015,1013,1010,10,10,10,21,11,,0.00,6,,229
2011-12-3,12,10,8,10,5,3,88,70,58,1004,1003,1000,10,10,10,29,21,48,0.00,1,,255
2011-12-4,9,7,5,6,5,3,93,82,71,1002,998,996,10,10,9,39,18,71,0.00,2,Rain,246
2011-12-5,7,4,3,2,1,0,87,77,66,1006,1006,1005,10,10,10,35,24,,0.00,1,,248
2011-12-6,7,4,3,4,2,1,87,80,71,1008,1007,1005,10,10,10,27,19,,0.00,2,Rain,241
2011-12-7,9,7,6,3,0,-2,71,58,50,1017,1008,1002,10,10,10,40,31,63,0.00,1,,266
2011-12-8,13,10,8,10,9,6,94,85,77,1015,1006,1000,10,10,10,48,31,69,0.00,5,Rain,221
2011-12-9,8,6,3,2,1,0,81,70,57,1013,1010,1009,10,10,10,32,23,,0.00,1,,248
2011-12-10,7,3,0,1,0,-1,93,79,66,1016,1015,1014,,,,19,13,,0.00,,,242
2011-12-11,8,7,6,8,6,4,100,88,81,1011,1006,999,10,10,9,142,27,,0.00,3,Rain,187
2011-12-12,9,6,3,7,4,2,93,82,71,1007,1004,994,10,10,10,40,21,61,0.00,3,Rain,213
2011-12-13,9,7,6,4,2,-1,81,67,50,994,992,988,10,10,10,50,34,55,0.00,1,Rain,232
2011-12-14,7,6,4,3,2,1,93,78,66,997,995,992,10,10,10,32,21,,0.00,1,Rain,229
2011-12-15,9,7,5,4,3,1,81,74,62,1000,998,993,10,10,10,39,27,58,0.00,3,Rain,234
2011-12-16,4,2,1,2,2,1,100,91,81,1001,990,979,10,10,7,37,24,48,0.00,4,Rain-Snow,293
2011-12-17,6,3,1,3,2,0,100,88,76,1010,1008,1007,10,10,9,26,18,,0.00,3,Rain,270
2011-12-18,4,1,-1,3,1,-2,100,91,81,1018,1015,1014,10,10,10,24,14,,0.00,2,Snow,275
2011-12-19,6,2,-1,6,3,-1,100,97,93,1017,1012,1008,10,8,7,19,10,,0.00,5,Rain,211
2011-12-20,8,7,6,4,3,3,87,80,71,1019,1015,1011,10,10,10,32,18,,0.00,1,,275
2011-12-21,12,9,7,11,10,7,100,95,88,1020,1017,1014,10,8,2,19,6,,0.00,5,,272
2011-12-22,12,9,7,9,8,6,94,86,77,1025,1024,1023,10,10,10,23,16,,0.00,2,,248
2011-12-23,12,8,5,9,7,3,94,89,82,1020,1015,1008,10,10,5,52,23,71,0.00,5,Rain,239
2011-12-24,8,6,3,4,3,1,87,82,76,1030,1029,1027,,,,24,18,,0.00,,,231
2011-12-25,,,,,,,,,,,,,,,,,,,0.00,,,-1
2011-12-26,13,11,9,11,9,6,94,87,76,1034,1033,1032,10,10,10,26,18,,0.00,4,,222
2011-12-27,10,9,8,7,6,5,87,79,71,1035,1033,1029,10,10,10,16,11,,0.00,6,,209
2011-12-28,12,9,6,9,5,2,100,76,62,1021,1019,1018,10,10,8,32,24,,0.00,2,,240
2011-12-29,10,8,6,7,4,2,93,78,71,1022,1017,1014,10,10,10,39,32,55,0.00,3,Rain,248
2011-12-30,9,7,5,9,4,2,100,88,76,1020,1015,1009,10,8,6,19,14,,0.00,4,Rain,231
2011-12-31,13,12,11,11,10,10,94,87,82,1011,1010,1009,10,10,10,21,14,,0.00,5,,236
